name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"arraycmp/0",285286996,2.46172,2.46107,ns,,,,,
"arraycmp/2",272244437,2.46338,2.4564,ns,,,,,
"arraycmp/4",284912712,2.48102,2.47944,ns,,,,,
"arraycmp/6",286983561,2.45939,2.4587,ns,,,,,
"arraycmp/8",256880984,2.73724,2.73631,ns,,,,,
"arraycmp/10",256657378,2.73731,2.73671,ns,,,,,
"arraycmp/12",256634837,2.74333,2.74263,ns,,,,,
"arraycmp/14",236816655,2.77642,2.77528,ns,,,,,
"arraycmp/16",192231498,3.70035,3.69576,ns,,,,,
"arraycmp/18",192148513,3.68042,3.67266,ns,,,,,
"arraycmp/20",191760232,3.66009,3.64927,ns,,,,,
"arraycmp/22",192447579,3.68397,3.67179,ns,,,,,
"arraycmp/24",142846470,4.84596,4.84509,ns,,,,,
"arraycmp/26",143132384,4.90057,4.89875,ns,,,,,
"arraycmp/28",142004001,4.8766,4.8624,ns,,,,,
"arraycmp/30",141887645,4.86146,4.86032,ns,,,,,
"arraycmp/32",119738992,5.84054,5.83916,ns,,,,,
"arraycmp/34",120018948,5.89736,5.89311,ns,,,,,
"arraycmp/36",120490350,5.92401,5.91733,ns,,,,,
"arraycmp/38",120238875,5.8235,5.82186,ns,,,,,
"arraycmp/40",105946292,6.64958,6.64765,ns,,,,,
"arraycmp/42",105148085,6.72418,6.70921,ns,,,,,
"arraycmp/44",104926572,6.72578,6.70737,ns,,,,,
"arraycmp/46",103618341,6.68099,6.67937,ns,,,,,
"arraycmp/48",93762568,7.52028,7.51294,ns,,,,,
"arraycmp/50",93512552,7.55789,7.54645,ns,,,,,
"arraycmp/52",92805898,7.53844,7.53635,ns,,,,,
"arraycmp/54",94179991,7.47037,7.4682,ns,,,,,
"arraycmp/56",84677805,8.22761,8.22568,ns,,,,,
"arraycmp/58",85230523,8.27555,8.27317,ns,,,,,
"arraycmp/60",84736205,8.30888,8.30637,ns,,,,,
"arraycmp/62",84914266,8.31462,8.31201,ns,,,,,
"arraycmp/64",77082152,9.0995,9.09744,ns,,,,,
"arraycmp/66",76597440,9.11248,9.11059,ns,,,,,
"arraycmp/68",77046428,9.14805,9.14582,ns,,,,,
"arraycmp/70",75845485,9.1655,9.16278,ns,,,,,
"arraycmp/72",69533510,10.1683,10.1495,ns,,,,,
"arraycmp/74",69873682,10.0836,10.0511,ns,,,,,
"arraycmp/76",69000927,10.1038,10.076,ns,,,,,
"arraycmp/78",70094007,10.0642,10.0343,ns,,,,,
"arraycmp/80",63939031,10.9925,10.9776,ns,,,,,
"arraycmp/82",64377358,10.9043,10.9019,ns,,,,,
"arraycmp/84",63768068,10.9585,10.9563,ns,,,,,
"arraycmp/86",63913700,10.9837,10.9813,ns,,,,,
"arraycmp/88",58915238,11.8944,11.8915,ns,,,,,
"arraycmp/90",59437719,11.9629,11.9301,ns,,,,,
"arraycmp/92",59549688,11.8345,11.8021,ns,,,,,
"arraycmp/94",59732123,11.9128,11.8756,ns,,,,,
"arraycmp/96",55676423,12.8639,12.838,ns,,,,,
"arraycmp/98",55859983,12.7118,12.7084,ns,,,,,
"asmlib/0",233498148,2.99513,2.99454,ns,,,,,
"asmlib/2",231530609,3.01064,3.00997,ns,,,,,
"asmlib/4",232547561,3.00293,3.00229,ns,,,,,
"asmlib/6",234400196,2.99951,2.99873,ns,,,,,
"asmlib/8",233830597,2.99479,2.99425,ns,,,,,
"asmlib/10",233878614,2.99612,2.99517,ns,,,,,
"asmlib/12",234531917,3.03944,3.03669,ns,,,,,
"asmlib/14",232870475,3.00944,3.00869,ns,,,,,
"asmlib/16",170140585,4.09713,4.09597,ns,,,,,
"asmlib/18",170735613,4.10927,4.108,ns,,,,,
"asmlib/20",171238063,4.13713,4.13604,ns,,,,,
"asmlib/22",169845755,4.10069,4.09991,ns,,,,,
"asmlib/24",170159558,4.09926,4.09817,ns,,,,,
"asmlib/26",170824164,4.1155,4.11449,ns,,,,,
"asmlib/28",170811841,4.10405,4.10288,ns,,,,,
"asmlib/30",170830682,4.10879,4.10763,ns,,,,,
"asmlib/32",129501819,5.49334,5.48513,ns,,,,,
"asmlib/34",128156042,5.49496,5.47947,ns,,,,,
"asmlib/36",127225799,5.50895,5.50392,ns,,,,,
"asmlib/38",129700535,5.4873,5.48577,ns,,,,,
"asmlib/40",127286347,5.60454,5.60232,ns,,,,,
"asmlib/42",128720091,5.46188,5.46062,ns,,,,,
"asmlib/44",128029554,5.42703,5.42563,ns,,,,,
"asmlib/46",129878151,5.51039,5.5087,ns,,,,,
"asmlib/48",102743503,6.84749,6.82666,ns,,,,,
"asmlib/50",100956198,6.86423,6.84398,ns,,,,,
"asmlib/52",102462520,6.88625,6.86675,ns,,,,,
"asmlib/54",101682092,6.86765,6.84665,ns,,,,,
"asmlib/56",102483119,6.85023,6.83077,ns,,,,,
"asmlib/58",102413617,6.84755,6.82678,ns,,,,,
"asmlib/60",102800911,6.85594,6.83413,ns,,,,,
"asmlib/62",102637736,6.82482,6.80223,ns,,,,,
"asmlib/64",83737826,8.33914,8.31417,ns,,,,,
"asmlib/66",83638511,8.44229,8.42676,ns,,,,,
"asmlib/68",84445869,8.40784,8.40234,ns,,,,,
"asmlib/70",84178882,8.39117,8.36509,ns,,,,,
"asmlib/72",84250293,8.4347,8.41649,ns,,,,,
"asmlib/74",84115009,8.31042,8.30835,ns,,,,,
"asmlib/76",84577509,8.31333,8.31061,ns,,,,,
"asmlib/78",85098203,8.46051,8.44148,ns,,,,,
"asmlib/80",73665213,9.66356,9.63525,ns,,,,,
"asmlib/82",68505174,9.5748,9.573,ns,,,,,
"asmlib/84",73307141,9.5999,9.59783,ns,,,,,
"asmlib/86",73020749,9.59885,9.59659,ns,,,,,
"asmlib/88",73804498,9.57153,9.5688,ns,,,,,
"asmlib/90",73403743,9.65479,9.65248,ns,,,,,
"asmlib/92",73308348,9.57017,9.56817,ns,,,,,
"asmlib/94",73262081,9.85593,9.85202,ns,,,,,
"asmlib/96",66101730,10.7038,10.701,ns,,,,,
"asmlib/98",65974491,10.6595,10.6566,ns,,,,,
"glibc/0",119508707,5.75283,5.75131,ns,,,,,
"glibc/2",134703307,5.23577,5.2341,ns,,,,,
"glibc/4",133837756,5.3329,5.32653,ns,,,,,
"glibc/6",150503138,4.73562,4.72054,ns,,,,,
"glibc/8",122154886,5.81093,5.80374,ns,,,,,
"glibc/10",132192672,5.21865,5.21735,ns,,,,,
"glibc/12",133042836,5.18476,5.18304,ns,,,,,
"glibc/14",150808774,4.63563,4.63441,ns,,,,,
"glibc/16",103720920,6.89169,6.88624,ns,,,,,
"glibc/18",110934120,6.28715,6.2669,ns,,,,,
"glibc/20",111586925,6.34448,6.33789,ns,,,,,
"glibc/22",121172645,5.74389,5.7426,ns,,,,,
"glibc/24",102063938,6.84272,6.84116,ns,,,,,
"glibc/26",112714796,6.28519,6.28355,ns,,,,,
"glibc/28",110374926,6.27246,6.27068,ns,,,,,
"glibc/30",122364522,5.78892,5.78724,ns,,,,,
"glibc/32",101943818,6.94581,6.93657,ns,,,,,
"glibc/34",111845103,6.34127,6.32004,ns,,,,,
"glibc/36",112025748,6.37122,6.36698,ns,,,,,
"glibc/38",122202565,5.75591,5.75428,ns,,,,,
"glibc/40",102603105,6.86284,6.86111,ns,,,,,
"glibc/42",112033106,6.30282,6.30114,ns,,,,,
"glibc/44",111636408,6.2572,6.25542,ns,,,,,
"glibc/46",120256076,5.76182,5.75723,ns,,,,,
"glibc/48",95380256,7.58821,7.56883,ns,,,,,
"glibc/50",101491636,6.87716,6.85867,ns,,,,,
"glibc/52",102286381,6.87772,6.85615,ns,,,,,
"glibc/54",111768594,6.32426,6.31572,ns,,,,,
"glibc/56",95205284,7.39303,7.39124,ns,,,,,
"glibc/58",101181843,6.80576,6.80423,ns,,,,,
"glibc/60",103669617,6.93084,6.91732,ns,,,,,
"glibc/62",110926452,6.34186,6.32294,ns,,,,,
"glibc/64",87186993,8.03436,8.02073,ns,,,,,
"glibc/66",94299840,7.35962,7.3579,ns,,,,,
"glibc/68",94654856,7.36507,7.36347,ns,,,,,
"glibc/70",103553977,6.86928,6.86785,ns,,,,,
"glibc/72",88710540,7.91206,7.91014,ns,,,,,
"glibc/74",94630153,7.38302,7.38129,ns,,,,,
"glibc/76",95328955,7.3793,7.37729,ns,,,,,
"glibc/78",103317889,6.84457,6.84237,ns,,,,,
"glibc/80",78598893,9.18121,9.16815,ns,,,,,
"glibc/82",83462611,8.44071,8.43861,ns,,,,,
"glibc/84",82217186,8.47762,8.47567,ns,,,,,
"glibc/86",88525288,7.95734,7.95533,ns,,,,,
"glibc/88",80146387,8.76472,8.76205,ns,,,,,
"glibc/90",85150708,8.29157,8.28367,ns,,,,,
"glibc/92",80358699,8.16918,8.1671,ns,,,,,
"glibc/94",91851421,7.70949,7.70691,ns,,,,,
"glibc/96",86800613,8.07675,8.07473,ns,,,,,
"glibc/98",94463653,7.3975,7.39586,ns,,,,,
